DATA;PRESIDIO;TIPO_RICOVERO;RICOVERI
01/01/2023;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;7
01/01/2023;01-030906 - Spedali Civili di Brescia;2 - URGENZA;20
01/01/2023;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;5
01/01/2023;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;2
01/01/2023;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;1
02/01/2023;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;19
02/01/2023;01-030906 - Spedali Civili di Brescia;2 - URGENZA;49
02/01/2023;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;15
02/01/2023;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;6
02/01/2023;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;4
02/01/2023;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;6
03/01/2023;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;28
03/01/2023;01-030906 - Spedali Civili di Brescia;2 - URGENZA;71
03/01/2023;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;4
03/01/2023;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;9
03/01/2023;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;2
03/01/2023;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;14
03/01/2023;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;4
03/01/2023;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;9
04/01/2023;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;39
04/01/2023;01-030906 - Spedali Civili di Brescia;2 - URGENZA;65
04/01/2023;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;3
04/01/2023;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;8
04/01/2023;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;3
04/01/2023;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;14
04/01/2023;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;5
04/01/2023;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;9
05/01/2023;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;38
05/01/2023;01-030906 - Spedali Civili di Brescia;2 - URGENZA;81
05/01/2023;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
05/01/2023;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;15
05/01/2023;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;3
05/01/2023;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;13
05/01/2023;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;1
05/01/2023;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;12
06/01/2023;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;27
06/01/2023;01-030906 - Spedali Civili di Brescia;2 - URGENZA;33
06/01/2023;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;2
06/01/2023;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;4
06/01/2023;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;3
06/01/2023;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;4
06/01/2023;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;1
06/01/2023;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;5
07/01/2023;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;15
07/01/2023;01-030906 - Spedali Civili di Brescia;2 - URGENZA;32
07/01/2023;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;2
07/01/2023;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;9
07/01/2023;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;3
07/01/2023;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;7
07/01/2023;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;1
08/01/2023;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;9
08/01/2023;01-030906 - Spedali Civili di Brescia;2 - URGENZA;19
08/01/2023;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;6
08/01/2023;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;3
08/01/2023;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;1
09/01/2023;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;25
09/01/2023;01-030906 - Spedali Civili di Brescia;2 - URGENZA;72
09/01/2023;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
09/01/2023;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;9
09/01/2023;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;11
09/01/2023;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;1
