DATA;PRESIDIO;TIPO_RICOVERO;RICOVERI
01/01/2020;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;7
01/01/2020;01-030906 - Spedali Civili di Brescia;2 - URGENZA;26
01/01/2020;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
01/01/2020;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;8
01/01/2020;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;2
01/01/2020;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;1
02/01/2020;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;22
02/01/2020;01-030906 - Spedali Civili di Brescia;2 - URGENZA;59
02/01/2020;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
02/01/2020;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;6
02/01/2020;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;1
02/01/2020;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;11
02/01/2020;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;2
02/01/2020;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;10
03/01/2020;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;25
03/01/2020;01-030906 - Spedali Civili di Brescia;2 - URGENZA;98
03/01/2020;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;3
03/01/2020;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;14
03/01/2020;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;3
03/01/2020;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;22
03/01/2020;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;1
03/01/2020;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;10
03/01/2020;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;3
04/01/2020;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;20
04/01/2020;01-030906 - Spedali Civili di Brescia;2 - URGENZA;32
04/01/2020;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;3
04/01/2020;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;9
04/01/2020;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;1
05/01/2020;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;9
05/01/2020;01-030906 - Spedali Civili di Brescia;2 - URGENZA;30
05/01/2020;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
05/01/2020;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;5
05/01/2020;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;2
05/01/2020;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;3
05/01/2020;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;2
06/01/2020;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;11
06/01/2020;01-030906 - Spedali Civili di Brescia;2 - URGENZA;19
06/01/2020;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;5
06/01/2020;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;2
06/01/2020;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;1
07/01/2020;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;23
