DATA;PRESIDIO;TRIAGE_INGRESSO;ACCESSI
01/01/2022;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;9
01/01/2022;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;15
01/01/2022;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;1
01/01/2022;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;3
01/01/2022;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;19
01/01/2022;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;2
01/01/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;1 - ROSSO;1
01/01/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;14
01/01/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;56
01/01/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;8
01/01/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;3
01/01/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;44
01/01/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;90
01/01/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;2
01/02/2022;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;2
01/02/2022;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;9
01/02/2022;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;23
01/02/2022;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;1
01/02/2022;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;4
01/02/2022;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;21
01/02/2022;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;6
01/02/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;1 - ROSSO;2
01/02/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;18
01/02/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;67
01/02/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;11
01/02/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;6
01/02/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;47
01/02/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;111
01/02/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;7
01/03/2022;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;1
01/03/2022;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;9
01/03/2022;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;26
01/03/2022;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;1 - ROSSO;4
01/03/2022;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;7
01/03/2022;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;26
01/03/2022;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;5
01/03/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;16
01/03/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;50
01/03/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;11
01/03/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;6
01/03/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;54
01/03/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;93
01/03/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;11
01/04/2022;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;3
01/04/2022;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;12
01/04/2022;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;14
01/04/2022;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;3
01/04/2022;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;31
01/04/2022;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;3
01/04/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;1 - ROSSO;2
01/04/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;20
01/04/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;41
01/04/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;7
01/04/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;10
01/04/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;73
01/04/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;107
01/04/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;11
01/05/2022;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;3
01/05/2022;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;12
01/05/2022;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;14
01/05/2022;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;1 - ROSSO;1
01/05/2022;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;4
01/05/2022;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;28
01/05/2022;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;2
01/05/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;17
01/05/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;48
01/05/2022;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;11
01/05/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;10
01/05/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;58
01/05/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;125
01/05/2022;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;8
