DATA;PRESIDIO;TRIAGE_INGRESSO;ACCESSI
01/01/2021;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;3
01/01/2021;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;10
01/01/2021;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;10
01/01/2021;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;2
01/01/2021;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;10
01/01/2021;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;1
01/01/2021;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;7
01/01/2021;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;27
01/01/2021;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;7
01/01/2021;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;24
01/01/2021;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;74
01/01/2021;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;3
02/01/2021;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;2
02/01/2021;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;12
02/01/2021;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;18
02/01/2021;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;3
02/01/2021;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;8
02/01/2021;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;19
02/01/2021;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;2
02/01/2021;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;18
02/01/2021;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;40
02/01/2021;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;11
02/01/2021;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;4
02/01/2021;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;44
02/01/2021;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;84
02/01/2021;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;20
03/01/2021;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;3
03/01/2021;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;15
03/01/2021;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;16
03/01/2021;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;1
03/01/2021;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;4
03/01/2021;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;15
03/01/2021;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;4
03/01/2021;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;17
03/01/2021;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;23
03/01/2021;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;8
03/01/2021;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;4
03/01/2021;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;52
03/01/2021;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;80
03/01/2021;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;11
04/01/2021;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;6
04/01/2021;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;8
