DATA;PRESIDIO;TRIAGE_INGRESSO;ACCESSI
01/01/2020;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;10
01/01/2020;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;35
01/01/2020;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;1
01/01/2020;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;6
01/01/2020;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;21
01/01/2020;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;6
01/01/2020;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;20
01/01/2020;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;80
01/01/2020;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;1
01/01/2020;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;4
01/01/2020;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;54
01/01/2020;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;87
01/01/2020;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;11
02/01/2020;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;16
02/01/2020;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;40
02/01/2020;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;1
02/01/2020;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;1 - ROSSO;1
02/01/2020;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;12
02/01/2020;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;39
02/01/2020;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;13
02/01/2020;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;1 - ROSSO;3
02/01/2020;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;25
02/01/2020;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;84
02/01/2020;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;10
02/01/2020;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;71
